1,Smartphone,Teléfono inteligente de última generación,699.99,1,1,50
2,Laptop,Computadora portátil con procesador de alta velocidad,1299.99,2,1,30
3,Smart TV,Televisor con pantalla LED de 55 pulgadas y funciones inteligentes,899.99,3,2,20
4,Tablet,Dispositivo móvil con pantalla táctil de 10 pulgadas,399.99,4,1,40
5,Cámara digital,Cámara compacta de alta resolución con zoom óptico,499.99,5,3,25
6,Auriculares inalámbricos,Auriculares Bluetooth con cancelación de ruido,149.99,6,4,60
7,Altavoz Bluetooth,Altavoz portátil con conexión inalámbrica y batería recargable,79.99,7,5,100
8,Router WiFi,Dispositivo para redes inalámbricas con tecnología de doble banda,89.99,8,6,40
9,Impresora multifunción,Impresora láser con escáner y copiadora integrados,299.99,9,7,15
10,Reproductor de Blu-ray,Reproductor de discos Blu-ray con capacidad de reproducción en 4K,129.99,10,8,25
